genre,lex_clean,frequency
Narrative,JM/,1
Narrative,JMJN/,1
Narrative,JRC[,1
Narrative,JRH[,1
Narrative,JRX=/,1
Narrative,JTR[,1
Narrative,JXD/,1
Narrative,JXL[,1
Narrative,JYG[,1
Narrative,JYQ[,1
Narrative,KBD[,1
Narrative,KBWD/,1
Narrative,KKR/,1
Narrative,KMR[,1
Narrative,KN<NJ/,1
Narrative,KNWR/,1
Narrative,KPR/,1
Narrative,KS>/,1
Narrative,KTB[,1
Narrative,KWKB/,1
Narrative,KWL[,1
Narrative,LCKH/,1
Narrative,LJY[,1
Narrative,LXY[,1
Narrative,M<LH/,1
Narrative,M>KL/,1
Narrative,MCGH/,1
Narrative,MCK[,1
Narrative,MCL/,1
Narrative,MCQL/,1
Narrative,MCTH/,1
Narrative,MDBR/,1
Narrative,MDJNJ/,1
Narrative,MDNJ/,1
Narrative,MGWRJM/,1
Narrative,MHH[,1
Narrative,MLXMH/,1
Narrative,MLXMT/,1
Narrative,MMLKH/,1
Narrative,MNH/,1
Narrative,MSPR/,1
Narrative,MTNJM/,1
Narrative,MVMN/,1
Narrative,MVRJ/,1
Narrative,MW<D/,1
Narrative,MWLDT/,1
Narrative,MXJH/,1
Narrative,MXNH/,1
Narrative,MXRT/,1
Narrative,MZWN/,1
Narrative,N<RH/,1
Narrative,N<WRJM/,1
Narrative,NBL=/,1
Narrative,NBL==/,1
Narrative,NCH[,1
Narrative,NG<[,1
Narrative,NKL[,1
Narrative,NQJ/,1
Narrative,NQR[,1
Narrative,NS<[,1
Narrative,NTX[,1
Narrative,NXLH/,1
Narrative,NY=/,1
Narrative,NYJB/,1
Narrative,P<M[,1
Narrative,PCV[,1
Narrative,PG<[,1
Narrative,PH,1
Narrative,PK/,1
Narrative,PLJVH/,1
Narrative,PNH[,1
Narrative,PQDWN/,1
Narrative,PQJD/,1
Narrative,PRC/,1
Narrative,PRH[,1
Narrative,PRX[,1
Narrative,PRY/,1
Narrative,PRY[,1
Narrative,PWG[,1
Narrative,PWY[,1
Narrative,PXD/,1
Narrative,QBWRH/,1
Narrative,QDD[,1
Narrative,QMY/,1
Narrative,QN>[,1
Narrative,QNH[,1
Narrative,QRWB/,1
Narrative,QY/,1
Narrative,QYH=/,1
Narrative,QYR=[,1
Narrative,R<===/,1
Narrative,R<B[,1
Narrative,RB<=/,1
Narrative,RBJD/,1
Narrative,RDP[,1
Narrative,RGZ[,1
Narrative,RJQ[,1
Narrative,RKB/,1
Narrative,RKB[,1
Narrative,RPH[,1
Narrative,RQ,1
Narrative,RQX==/,1
Narrative,RW<[,1
Narrative,RXQ[,1
Narrative,RXWQ/,1
Narrative,SPH[,1
Narrative,SPR/,1
Narrative,T<H[,1
Narrative,TCWRH/,1
Narrative,TMH[,1
Narrative,TP/,1
Narrative,TPF[,1
Narrative,TW<BH/,1
Narrative,TW>MM/,1
Narrative,TWLDWT/,1
Narrative,V<N[,1
Narrative,VB<T/,1
Narrative,VBL[,1
