book,chapter,verse,genre,word_node,word,lex,pos,word_hebrew,lemma_hebrew
Genesis,37,8,Narrative,20308,יֹּוסִ֤פוּ ,JSP[,verb,יֹּוסִ֤פוּ,וסִף
Genesis,37,8,Narrative,20309,עֹוד֙ ,<WD/,subs,עֹוד֙,עֹוד
Genesis,37,8,Narrative,20310,שְׂנֹ֣א ,FN>[,verb,שְׂנֹ֣א,שְׂנֹא
Genesis,37,8,Narrative,20311,אֹתֹ֔ו ,>T,prep,אֹתֹ֔ו,אֹת
Genesis,37,8,Narrative,20312,עַל־,<L,prep,עַל,עַל
Genesis,37,8,Narrative,20313,חֲלֹמֹתָ֖יו ,XLWM/,subs,חֲלֹמֹתָ֖יו,חֲלֹם
Genesis,37,8,Narrative,20314,וְ,W,conj,וְ,וְ
Genesis,37,8,Narrative,20315,עַל־,<L,prep,עַל,עַל
Genesis,37,8,Narrative,20316,דְּבָרָֽיו׃ ,DBR/,subs,דְּבָרָֽיו,דְּבָר
Genesis,37,9,Narrative,20317,וַ,W,conj,וַ,וַ
Genesis,37,9,Narrative,20318,יַּחֲלֹ֥ם ,XLM[,verb,יַּחֲלֹ֥ם,חֲלֹם
Genesis,37,9,Narrative,20319,עֹוד֙ ,<WD/,subs,עֹוד֙,עֹוד
Genesis,37,9,Narrative,20320,חֲלֹ֣ום ,XLWM/,subs,חֲלֹ֣ום,חֲלֹום
Genesis,37,9,Narrative,20321,אַחֵ֔ר ,>XR=/,adjv,אַחֵ֔ר,אַחֵר
Genesis,37,9,Narrative,20322,וַ,W,conj,וַ,וַ
Genesis,37,9,Narrative,20323,יְסַפֵּ֥ר ,SPR[,verb,יְסַפֵּ֥ר,סַפֵּר
Genesis,37,9,Narrative,20324,אֹתֹ֖ו ,>T,prep,אֹתֹ֖ו,אֹת
Genesis,37,9,Narrative,20325,לְ,L,prep,לְ,לְ
Genesis,37,9,Narrative,20326,אֶחָ֑יו ,>X/,subs,אֶחָ֑יו,אֶח
Genesis,37,9,Narrative,20327,וַ,W,conj,וַ,וַ
Genesis,37,9,Narrative,20328,יֹּ֗אמֶר ,>MR[,verb,יֹּ֗אמֶר,אמֶר
Genesis,37,9,Narrative,20329,הִנֵּ֨ה ,HNH,intj,הִנֵּ֨ה,הִנֵּה
Genesis,37,9,Narrative,20330,חָלַ֤מְתִּֽי ,XLM[,verb,חָלַ֤מְתִּֽי,חָלַםְ
Genesis,37,9,Narrative,20331,חֲלֹום֙ ,XLWM/,subs,חֲלֹום֙,חֲלֹום
Genesis,37,9,Narrative,20332,עֹ֔וד ,<WD/,subs,עֹ֔וד,עֹוד
Genesis,37,9,Narrative,20333,וְ,W,conj,וְ,וְ
Genesis,37,9,Narrative,20334,הִנֵּ֧ה ,HNH,intj,הִנֵּ֧ה,הִנֵּה
Genesis,37,9,Narrative,20335,הַ,H,art,הַ,הַ
Genesis,37,9,Narrative,20336,שֶּׁ֣מֶשׁ ,CMC/,subs,שֶּׁ֣מֶשׁ,שֶּׁמֶשׁ
Genesis,37,9,Narrative,20337,וְ,W,conj,וְ,וְ
Genesis,37,9,Narrative,20338,הַ,H,art,הַ,הַ
Genesis,37,9,Narrative,20339,יָּרֵ֗חַ ,JRX=/,subs,יָּרֵ֗חַ,יָּרֵחַ
Genesis,37,9,Narrative,20340,וְ,W,conj,וְ,וְ
Genesis,37,9,Narrative,20341,אַחַ֤ד ,>XD/,subs,אַחַ֤ד,אַחַד
Genesis,37,9,Narrative,20342,עָשָׂר֙ ,<FR/,subs,עָשָׂר֙,עָשָׂר
